Company,Area,Item,y2016,y2017,y2018,y2019
 Total of All Companies, U.S. Total,Residential Volume,4346588316,4413323531,4997554148,5015602829
 Total of All Companies, U.S. Total,Commercial Volume,3109584136,3164614639,3513953580,3512607054
 Total of All Companies, U.S. Total,Industrial Volume,7728687814,7943017862,8417299599,8421655135
 Total of All Companies, U.S. Total,Electric Power Volume,10313963862,9599490641,10918248238,11617902666
 Total of All Companies, U.S. Total,Vehicle Fuel Volume,42529698,47470122,48754162,50795277
 Total of All Companies, U.S. Total,Other Volume,0,41812,2394,36633
 Total of All Companies,Alabama,Residential Volume,28406890,26337821,34725671,30615524
 Total of All Companies,Alabama,Commercial Volume,23551547,22914953,26636067,24874649
 Total of All Companies,Alabama,Industrial Volume,192424022,196653706,219056707,217039988
 Total of All Companies,Alabama,Electric Power Volume,507727401,444201045,504210076,490120456
 Total of All Companies,Alabama,Vehicle Fuel Volume,144507,87523,80519,62192
 Total of All Companies,Alabama,Other Volume,0,,,
 Total of All Companies,Alaska,Residential Volume,17787189,20247149,18606913,17951286
 Total of All Companies,Alaska,Commercial Volume,15953130,15544245,14488511,14569840
 Total of All Companies,Alaska,Industrial Volume,4267797,4156011,5889529,15939643
 Total of All Companies,Alaska,Electric Power Volume,48548918,52939242,48936800,40114186
 Total of All Companies,Alaska,Vehicle Fuel Volume,4936,4683,4718,
 Total of All Companies,Arizona,Residential Volume,35120086,32821269,35124758,42084790
 Total of All Companies,Arizona,Commercial Volume,34009565,31212089,31812466,34686520
 Total of All Companies,Arizona,Industrial Volume,19765497,19250252,19168526,18625217
 Total of All Companies,Arizona,Electric Power Volume,288969719,264518040,334170405,411491183
 Total of All Companies,Arizona,Vehicle Fuel Volume,1405053,1541420,1608378,1536816
 Total of All Companies,Arkansas,Residential Volume,27129530,25703534,34978731,33718397
 Total of All Companies,Arkansas,Commercial Volume,45809601,47496254,55452624,55099970
 Total of All Companies,Arkansas,Industrial Volume,87876475,100255640,106691842,105279892
 Total of All Companies,Arkansas,Electric Power Volume,137837448,131631340,154444754,161176607
 Total of All Companies,Arkansas,Vehicle Fuel Volume,44406,43484,47152,55668
 Total of All Companies,California,Residential Volume,411828384,431005403,423914548,464671998
 Total of All Companies,California,Commercial Volume,236966785,237351872,248012028,255980729
 Total of All Companies,California,Industrial Volume,774503486,760660716,766414895,768188445
 Total of All Companies,California,Electric Power Volume,573743057,499314302,489783227,473222630
 Total of All Companies,California,Vehicle Fuel Volume,23871379,24687891,24329568,26257620
 Total of All Companies,Colorado,Residential Volume,121963196,118584554,128149955,142692423
 Total of All Companies,Colorado,Commercial Volume,54264512,52734807,55887382,61754908
 Total of All Companies,Colorado,Industrial Volume,80431719,84914474,88654010,91693462
 Total of All Companies,Colorado,Electric Power Volume,128714370,128121485,161765239,162242053
