state,ID,Company Name,Status,Last<BR>Update
XX,99999999XX,3.33E+15,Inactive,2019
KS,17676672KS,4 COUNTY ENERGY LLC,Active,2019
TX,17678322TX,5M GAS LLC,Active,2019
TX,17695220TX,5P GAS PIPELINE CO,Active,2019
KS,17600032KS,ABBYVILLE CITY OF,Active,2019
LA,17600041LA,ABITA SPRINGS NATURAL GAS CO,Active,2019
TX,17604010TX,ACACIA NAT GAS CORP,Inactive,2019
LA,17613153LA,ACADIAN GAS P L SYS,Active,2019
GA,17600081GA,ADAIRSVILLE NAT GAS SYS,Active,2019
TN,17647093TN,ADAMSVILLE CITY OF,Active,2019
GA,17619900GA,ADEL CITY OF,Active,2019
BR,17699999BR,ADJUSTMENT COMPANY,Inactive,2019
C2,17699999C2,ADJUSTMENT COMPANY,Inactive,2019
CL,17699999CL,ADJUSTMENT COMPANY,Inactive,2019
CN,17699999CN,ADJUSTMENT COMPANY,Inactive,2019
DR,17699999DR,ADJUSTMENT COMPANY,Inactive,2019
EG,17699999EG,ADJUSTMENT COMPANY,Inactive,2019
ES,17699999ES,ADJUSTMENT COMPANY,Inactive,2019
FX,17699999FX,ADJUSTMENT COMPANY,Active,2019
GQ,17699999GQ,ADJUSTMENT COMPANY,Inactive,2019
I2,17699999I2,ADJUSTMENT COMPANY,Inactive,2019
IT,17699999IT,ADJUSTMENT COMPANY,Inactive,2019
JA,17699999JA,ADJUSTMENT COMPANY,Inactive,2019
JD,17699999JD,ADJUSTMENT COMPANY,Inactive,2019
KR,17699999KR,ADJUSTMENT COMPANY,Inactive,2019
KU,17699999KU,ADJUSTMENT COMPANY,Inactive,2019
PT,17699999PT,ADJUSTMENT COMPANY,Inactive,2019
QR,17699999QR,ADJUSTMENT COMPANY,Inactive,2019
TD,17699999TD,ADJUSTMENT COMPANY,Inactive,2019
TU,17699999TU,ADJUSTMENT COMPANY,Inactive,2019
TW,17699999TW,ADJUSTMENT COMPANY,Inactive,2019
UA,17699999UA,ADJUSTMENT COMPANY,Inactive,2019
UK,17699999UK,ADJUSTMENT COMPANY,Inactive,2019
VT,17699999VT,ADJUSTMENT COMPANY,Active,2019
WA,17699999WA,ADJUSTMENT COMPANY,Active,2019
YE,17699999YE,ADJUSTMENT COMPANY,Inactive,2019
0,1769990100,ADJUSTMENT COMPANY,Inactive,2019
0,1769990200,ADJUSTMENT COMPANY,Inactive,2019
0,1769990300,ADJUSTMENT COMPANY,Inactive,2019
0,1769990400,ADJUSTMENT COMPANY,Inactive,2019
0,1769990500,ADJUSTMENT COMPANY,Inactive,2019
0,1769990600,ADJUSTMENT COMPANY,Inactive,2019
0,1769990700,ADJUSTMENT COMPANY,Inactive,2019
0,1769990800,ADJUSTMENT COMPANY,Inactive,2019
0,1769990900,ADJUSTMENT COMPANY,Inactive,2019
0,1769991000,ADJUSTMENT COMPANY,Inactive,2019
LA,17699910LA,ADJUSTMENT COMPANY,Active,2019
WY,17699910WY,ADJUSTMENT COMPANY,Active,2019
0,1769991100,ADJUSTMENT COMPANY,Inactive,2019
FL,17699912FL,ADJUSTMENT COMPANY,Active,2019
PA,17699912PA,ADJUSTMENT COMPANY,Active,2019
0,1769991300,ADJUSTMENT COMPANY,Inactive,2019
NY,17699913NY,ADJUSTMENT COMPANY,Active,2019
0,1769991400,ADJUSTMENT COMPANY,Inactive,2019
CO,17699915CO,ADJUSTMENT COMPANY,Active,2019
0,1769991600,ADJUSTMENT COMPANY,Inactive,2019
0,1769991700,ADJUSTMENT COMPANY,Inactive,2019
KS,17699920KS,ADJUSTMENT COMPANY,Inactive,2019
NM,17699921NM,ADJUSTMENT COMPANY,Active,2019
OK,17699922OK,ADJUSTMENT COMPANY,Inactive,2019
ME,17699923ME,ADJUSTMENT COMPANY,Active,2019
SC,17699923SC,ADJUSTMENT COMPANY,Inactive,2019
WI,17699924WI,ADJUSTMENT COMPANY,Active,2019
NE,17699925NE,ADJUSTMENT COMPANY,Active,2019
MO,17699926MO,ADJUSTMENT COMPANY,Inactive,2019
MN,17699927MN,ADJUSTMENT COMPANY,Active,2019
AR,17699928AR,ADJUSTMENT COMPANY,Inactive,2019
AZ,17699929AZ,ADJUSTMENT COMPANY,Active,2019
CA,17699930CA,ADJUSTMENT COMPANY,Active,2019
CT,17699931CT,ADJUSTMENT COMPANY,Inactive,2019
GA,17699932GA,ADJUSTMENT COMPANY,Inactive,2019
IA,17699933IA,ADJUSTMENT COMPANY,Active,2019
NH,17699933NH,ADJUSTMENT COMPANY,Active,2019
IL,17699934IL,ADJUSTMENT COMPANY,Active,2019
NJ,17699934NJ,ADJUSTMENT COMPANY,Inactive,2019
MA,17699935MA,ADJUSTMENT COMPANY,Inactive,2019
MD,17699936MD,ADJUSTMENT COMPANY,Inactive,2019
DE,17699937DE,ADJUSTMENT COMPANY,Active,2019
MX,17699999MX,ADJUSTMENT COMPANY,Inactive,2019
MY,17699999MY,ADJUSTMENT COMPANY,Inactive,2019
NG,17699999NG,ADJUSTMENT COMPANY,Inactive,2019
NO,17699999NO,ADJUSTMENT COMPANY,Inactive,2019
NV,17699999NV,ADJUSTMENT COMPANY,Active,2019
OM,17699999OM,ADJUSTMENT COMPANY,Inactive,2019
OO,17699999OO,ADJUSTMENT COMPANY,Inactive,2019
PE,17699999PE,ADJUSTMENT COMPANY,Inactive,2019
MI,17699938MI,ADJUSTMENT COMPANY,Active,2019
ND,17699938ND,ADJUSTMENT COMPANY,Active,2019
IN,17699939IN,ADJUSTMENT COMPANY,Active,2019
MT,17699940MT,ADJUSTMENT COMPANY,Active,2019
NC,17699941NC,ADJUSTMENT COMPANY,Active,2019
UT,17699942UT,ADJUSTMENT COMPANY,Active,2019
TN,17699947TN,ADJUSTMENT COMPANY,Inactive,2019
VA,17699951VA,ADJUSTMENT COMPANY,Inactive,2019
RU,17699981RU,ADJUSTMENT COMPANY,Inactive,2019
WV,17699990WV,ADJUSTMENT COMPANY,Active,2019
OR,17699992OR,ADJUSTMENT COMPANY,Active,2019
OH,17699993OH,ADJUSTMENT COMPANY,Inactive,2019
KY,17699994KY,ADJUSTMENT COMPANY,Inactive,2019
TX,17699995TX,ADJUSTMENT COMPANY,Active,2019
AL,17699996AL,ADJUSTMENT COMPANY,Active,2019
ID,17699997ID,ADJUSTMENT COMPANY,Active,2019
MS,17699998MS,ADJUSTMENT COMPANY,Active,2019
AG,17699999AG,ADJUSTMENT COMPANY,Inactive,2019
AK,17699999AK,ADJUSTMENT COMPANY,Active,2019
AT,17699999AT,ADJUSTMENT COMPANY,Inactive,2019
AU,17699999AU,ADJUSTMENT COMPANY,Inactive,2019
BB,17699999BB,ADJUSTMENT COMPANY,Inactive,2019
BE,17699999BE,ADJUSTMENT COMPANY,Inactive,2019
BL,17699999BL,ADJUSTMENT COMPANY,Inactive,2019
0,1769991200,ADJUSTMENT COMPANY -,Inactive,2019
HI,17699999HI,ADJUSTMENT COMPANY FOR HAWAII,Inactive,2019
MS,17699910MS,ADJUSTMENT P L CO,Inactive,2019
SC,17617562SC,ADJUSTMENT P L CO,Inactive,2019
NV,17699941NV,ADJUSTMENT P L CO,Inactive,2019
TD,17699973TD,ADJUSTMENT P L CO,Inactive,2019
